gridName,jsonPath,diagnosticPngPath,dryLandCellCount,totalContourSegments
50_Crystal_Cove,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\50_Crystal_Cove_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\50_Crystal_Cove_inundation_limits_diagnostic.png,36016,372
51_Laguna_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\51_Laguna_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\51_Laguna_Beach_inundation_limits_diagnostic.png,121940,519
52_South_Laguna,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\52_South_Laguna_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\52_South_Laguna_inundation_limits_diagnostic.png,56638,398
53_Monarch_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\53_Monarch_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\53_Monarch_Beach_inundation_limits_diagnostic.png,69307,639
54_Dana_Point,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\54_Dana_Point_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\54_Dana_Point_inundation_limits_diagnostic.png,250533,1238
55_San_Clemente,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\55_San_Clemente_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\55_San_Clemente_inundation_limits_diagnostic.png,101778,626
56_San_Onofre,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\56_San_Onofre_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\56_San_Onofre_inundation_limits_diagnostic.png,129386,700
57_Oceanside,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\57_Oceanside_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\57_Oceanside_inundation_limits_diagnostic.png,774840,2058
58_Carlsbad,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\58_Carlsbad_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\58_Carlsbad_inundation_limits_diagnostic.png,293896,1400
59_Encinitas,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\59_Encinitas_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\59_Encinitas_inundation_limits_diagnostic.png,711823,1771
60_Del_Mar,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\60_Del_Mar_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\60_Del_Mar_inundation_limits_diagnostic.png,411626,3074
61_La_Jolla,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\61_La_Jolla_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\61_La_Jolla_inundation_limits_diagnostic.png,207751,529
62_San_Diego,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\62_San_Diego_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\62_San_Diego_inundation_limits_diagnostic.png,3292016,19837
63_Alameda,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\63_Alameda_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\63_Alameda_inundation_limits_diagnostic.png,6294198,37276
